,Average,Date
218,62.4021537,7/31/2015
219,62.4021537,8/1/2015
220,62.4021537,8/2/2015
221,61.2342537,8/3/2015
222,61.14797963,8/4/2015
223,61.44238148,8/5/2015
224,60.79731481,8/6/2015
225,61.22537222,8/7/2015
226,61.22537222,8/8/2015
227,61.22537222,8/9/2015
228,61.58974259,8/10/2015
229,61.76851481,8/11/2015
230,63.03027778,8/12/2015
231,63.1854,8/13/2015
232,62.98518889,8/14/2015
233,62.98518889,8/15/2015
234,62.98518889,8/16/2015
235,62.54277963,8/17/2015
236,62.67025926,8/18/2015
237,61.46692222,8/19/2015
238,60.36735556,8/20/2015
239,58.64881667,8/21/2015
240,58.64881667,8/22/2015
241,58.64881667,8/23/2015
242,54.66368704,8/24/2015
243,54.99442593,8/25/2015
244,54.27823889,8/26/2015
245,57.02787037,8/27/2015
246,58.90129444,8/28/2015
247,58.90129444,8/29/2015
248,58.90129444,8/30/2015
249,59.13766481,8/31/2015
250,58.32564444,9/1/2015
251,57.83776111,9/2/2015
252,59.04585185,9/3/2015
253,57.66881481,9/4/2015
254,57.66881481,9/5/2015
255,57.66881481,9/6/2015
256,57.66881481,9/7/2015
257,58.09572222,9/8/2015
258,58.49666111,9/9/2015
259,57.37194259,9/10/2015
260,56.49673333,9/11/2015
261,56.49673333,9/12/2015
262,56.49673333,9/13/2015
263,56.10712778,9/14/2015
264,56.57920556,9/15/2015
265,57.97472037,9/16/2015
266,59.02194815,9/17/2015
267,57.37542407,9/18/2015
268,57.37542407,9/19/2015
269,57.37542407,9/20/2015
270,57.4027037,9/21/2015
271,56.80922593,9/22/2015
272,56.51953704,9/23/2015
273,55.6709537,9/24/2015
274,56.15509444,9/25/2015
275,56.15509444,9/26/2015
276,56.15509444,9/27/2015
277,54.49952593,9/28/2015
278,53.78960741,9/29/2015
279,54.4551537,9/30/2015
,,
281,55.42944444,10/1/2015
282,56.02826667,10/2/2015
283,56.02826667,10/3/2015
284,56.02826667,10/4/2015
285,59.1812463,10/5/2015
286,60.63110926,10/6/2015
287,61.73888889,10/7/2015
288,62.59113889,10/8/2015
289,63.18790185,10/9/2015
290,63.18790185,10/10/2015
291,63.18790185,10/11/2015
292,62.45886667,10/12/2015
293,61.93770926,10/13/2015
294,61.72441296,10/14/2015
295,62.31343519,10/15/2015
296,63.09037037,10/16/2015
297,63.09037037,10/17/2015
298,63.09037037,10/18/2015
299,61.96036852,10/19/2015
300,61.71788519,10/20/2015
301,61.41949815,10/21/2015
302,61.58851667,10/22/2015
303,61.68453889,10/23/2015
304,61.68453889,10/24/2015
305,61.68453889,10/25/2015
306,60.99573333,10/26/2015
307,59.07912037,10/27/2015
308,60.13032037,10/28/2015
309,61.12901296,10/29/2015
310,61.34578889,10/30/2015
311,61.34578889,10/31/2015
312,61.34578889,11/1/2015
313,62.07862037,11/2/2015
314,64.14444444,11/3/2015
315,64.26818704,11/4/2015
316,63.7895963,11/5/2015
317,63.07393333,11/6/2015
318,63.07393333,11/7/2015
319,63.07393333,11/8/2015
320,63.29762778,11/9/2015
321,62.91847407,11/10/2015
322,62.11403889,11/11/2015
323,60.31397963,11/12/2015
324,59.74222778,11/13/2015
325,59.74222778,11/14/2015
326,59.74222778,11/15/2015
327,60.63490741,11/16/2015
328,61.13365926,11/17/2015
329,61.60867593,11/18/2015
330,61.26342407,11/19/2015
331,60.88576667,11/20/2015
332,60.88576667,11/21/2015
333,60.88576667,11/22/2015
334,60.77548148,11/23/2015
335,62.17814074,11/24/2015
336,62.18570926,11/25/2015
337,62.18570926,11/26/2015
338,61.47740556,11/27/2015
339,61.47740556,11/28/2015
340,61.47740556,11/29/2015
341,61.66533333,11/30/2015
,,
343,61.86443704,12/1/2015
344,60.92506481,12/2/2015
345,59.72509074,12/3/2015
346,58.33334074,12/4/2015
347,58.33334074,12/5/2015
348,58.33334074,12/6/2015
349,56.04428889,12/7/2015
350,55.13074815,12/8/2015
351,56.1556,12/9/2015
352,56.38704259,12/10/2015
353,54.9391463,12/11/2015
354,54.9391463,12/12/2015
